mandag,nat,Tanika Burstein.1,Clarisa Satchell.5,$
mandag,dag,Shaniqua Canez.7,Shannon Casady.0,Nicol Pasko.8,$
mandag,aften,Rita Hursh.3,Donette Worthey.6,$
tirsdag,nat,Donette Worthey.9,Clarisa Satchell.5,$
tirsdag,dag,Quintin Bratt.2,Nicol Pasko.8,Shaniqua Canez.7,$
tirsdag,aften,Donette Worthey.6,Rita Hursh.3,$
onsdag,nat,Celestine Mcclean.4,Donette Worthey.9,$
onsdag,dag,Nicol Pasko.8,Quintin Bratt.2,Shaniqua Canez.7,$
onsdag,aften,Donette Worthey.6,Tanika Burstein.1,$
torsdag,nat,Celestine Mcclean.4,Shannon Casady.0,$
torsdag,dag,Clarisa Satchell.5,Donette Worthey.9,Nicol Pasko.8,$
torsdag,aften,Rita Hursh.3,Quintin Bratt.2,$
fredag,nat,Shannon Casady.0,Tanika Burstein.1,$
fredag,dag,Shaniqua Canez.7,Donette Worthey.9,Clarisa Satchell.5,$
fredag,aften,Donette Worthey.6,Rita Hursh.3,$
lørdag,nat,Celestine Mcclean.4,Quintin Bratt.2,$
lørdag,dag,Clarisa Satchell.5,Nicol Pasko.8,Shaniqua Canez.7,$
lørdag,aften,Rita Hursh.3,Donette Worthey.6,$
søndag,nat,Celestine Mcclean.4,Shannon Casady.0,$
søndag,dag,Clarisa Satchell.5,Shaniqua Canez.7,Nicol Pasko.8,$
søndag,aften,Donette Worthey.6,Rita Hursh.3,$
