mandag,nat,Shannon Casady.0,Donette Worthey.9,$,
mandag,dag,Tanika Burstein.1,Quintin Bratt.2,Celestine Mcclean.4,$
mandag,aften,Donette Worthey.6,Donette Worthey.9,$,
tirsdag,nat,Tanika Burstein.1,Nicol Pasko.8,$,
tirsdag,dag,Tanika Burstein.1,Quintin Bratt.2,Nicol Pasko.8,$
tirsdag,aften,Celestine Mcclean.4,Donette Worthey.9,$,
onsdag,nat,Shannon Casady.0,Quintin Bratt.2,$,
onsdag,dag,Tanika Burstein.1,Celestine Mcclean.4,Clarisa Satchell.5,$
onsdag,aften,Clarisa Satchell.5,Donette Worthey.9,$,
torsdag,nat,Shannon Casady.0,Shaniqua Canez.7,$,
torsdag,dag,Tanika Burstein.1,Quintin Bratt.2,Nicol Pasko.8,$
torsdag,aften,Celestine Mcclean.4,Donette Worthey.9,$,
fredag,nat,Shannon Casady.0,Shaniqua Canez.7,$,
fredag,dag,Tanika Burstein.1,Celestine Mcclean.4,Nicol Pasko.8,$
fredag,aften,Rita Hursh.3,Clarisa Satchell.5,$,
lørdag,nat,Shannon Casady.0,Celestine Mcclean.4,$,
lørdag,dag,Rita Hursh.3,Quintin Bratt.2,Shaniqua Canez.7,$
lørdag,aften,Celestine Mcclean.4,Tanika Burstein.1,$,
søndag,nat,Shannon Casady.0,Celestine Mcclean.4,$,
søndag,dag,Tanika Burstein.1,Clarisa Satchell.5,Shaniqua Canez.7,$
søndag,aften,Quintin Bratt.2,Rita Hursh.3,$,
